mstar = 2 Msun, Rstar = 2.5 Rsun, Tstar = 10000, mdisk = 0.0022854 Msun, Rc = 150 AU, Rin = 0.5 AU, Rout = 250 AU, inclination = 45 degree, powerlaw = -0.5 
         130
  
  0.2997900000000E+11   0.3242704262880E-23
  0.3951060000000E+11   0.7382000459277E-23
  0.5207280000000E+11   0.1679429746310E-22
  0.6862910000000E+11   0.3816457396477E-22
  0.9044930000000E+11   0.8658057144459E-22
  0.1192070000000E+12   0.1959442854284E-21
  0.1571080000000E+12   0.4419858524560E-21
  0.2070600000000E+12   0.9925041841543E-21
  0.2728930000000E+12   0.2215264711156E-20
  0.3596580000000E+12   0.5348659527062E-20
  0.4740100000000E+12   0.1543460651023E-19
  0.6247180000000E+12   0.4391327921898E-19
  0.8233440000000E+12   0.1223652495957E-18
  0.1085120000000E+13   0.3319556236264E-18
  0.1430130000000E+13   0.8667118616498E-18
  0.1884830000000E+13   0.2148786712867E-17
  0.2484100000000E+13   0.4957595366759E-17
  0.3273910000000E+13   0.1030132090982E-16
  0.4314820000000E+13   0.1851703874454E-16
  0.5686700000000E+13   0.2707627640556E-16
  0.7494750000000E+13   0.3029691104828E-16
  0.7682960000000E+13   0.3018405122233E-16
  0.7875890000000E+13   0.2999720264591E-16
  0.8073670000000E+13   0.2973635939177E-16
  0.8276410000000E+13   0.2940778080191E-16
  0.8484250000000E+13   0.2902209936920E-16
  0.8697300000000E+13   0.2862198609073E-16
  0.8915700000000E+13   0.2816411460954E-16
  0.9139590000000E+13   0.2770978819037E-16
  0.9369100000000E+13   0.2721637975463E-16
  0.9604380000000E+13   0.2671003285530E-16
  0.9845560000000E+13   0.2619356155977E-16
  0.1009280000000E+14   0.2564582242329E-16
  0.1034620000000E+14   0.2509097330275E-16
  0.1060610000000E+14   0.2451050257740E-16
  0.1087240000000E+14   0.2395899032779E-16
  0.1114540000000E+14   0.2339737873023E-16
  0.1142530000000E+14   0.2284976431960E-16
  0.1171220000000E+14   0.2231347018081E-16
  0.1200630000000E+14   0.2177308962488E-16
  0.1230780000000E+14   0.2124525064453E-16
  0.1261690000000E+14   0.2071192809519E-16
  0.1293370000000E+14   0.2023420286504E-16
  0.1325850000000E+14   0.1975737297131E-16
  0.1359150000000E+14   0.1930283042751E-16
  0.1393280000000E+14   0.1886178154334E-16
