mstar = 2 Msun, Rstar = 2.5 Rsun, Tstar = 10000, mdisk = 0.00103 Msun, Rc = 150 AU, Rin = 0.5 AU, Rout = 250 AU, inclination = 45 degree, powerlaw = -0.5 
         130
  
  0.2997900000000E+11   0.1589965084265E-23
  0.3951060000000E+11   0.3612855539495E-23
  0.5207280000000E+11   0.8209002626367E-23
  0.6862910000000E+11   0.1864051120350E-22
  0.9044930000000E+11   0.4227467728773E-22
  0.1192070000000E+12   0.9568411442159E-22
  0.1571080000000E+12   0.2159502482391E-21
  0.2070600000000E+12   0.4854314014239E-21
  0.2728930000000E+12   0.1085231615979E-20
  0.3596580000000E+12   0.2626314458713E-20
  0.4740100000000E+12   0.7604493259818E-20
  0.6247180000000E+12   0.2174358080175E-19
  0.8233440000000E+12   0.6102493180221E-19
  0.1085120000000E+13   0.1672754668318E-18
  0.1430130000000E+13   0.4434147024304E-18
  0.1884830000000E+13   0.1124354240826E-17
  0.2484100000000E+13   0.2683792255363E-17
  0.3273910000000E+13   0.5874446107773E-17
  0.4314820000000E+13   0.1144082712912E-16
  0.5686700000000E+13   0.1885037198196E-16
  0.7494750000000E+13   0.2464067708805E-16
  0.7682960000000E+13   0.2490878426598E-16
  0.7875890000000E+13   0.2511176120294E-16
  0.8073670000000E+13   0.2524419789085E-16
  0.8276410000000E+13   0.2530752729799E-16
  0.8484250000000E+13   0.2530854878301E-16
  0.8697300000000E+13   0.2529174781445E-16
  0.8915700000000E+13   0.2520234324360E-16
  0.9139590000000E+13   0.2510726620258E-16
  0.9369100000000E+13   0.2495200015818E-16
  0.9604380000000E+13   0.2476274686146E-16
  0.9845560000000E+13   0.2453851010890E-16
  0.1009280000000E+14   0.2425118623621E-16
  0.1034620000000E+14   0.2392596854655E-16
  0.1060610000000E+14   0.2354040585308E-16
  0.1087240000000E+14   0.2315380809001E-16
  0.1114540000000E+14   0.2272240036809E-16
  0.1142530000000E+14   0.2227260181375E-16
  0.1171220000000E+14   0.2180235949030E-16
  0.1200630000000E+14   0.2129842493666E-16
  0.1230780000000E+14   0.2078046772142E-16
  0.1261690000000E+14   0.2023480463598E-16
  0.1293370000000E+14   0.1972157602301E-16
  0.1325850000000E+14   0.1919327121092E-16
  0.1359150000000E+14   0.1867308432879E-16
  0.1393280000000E+14   0.1815690137346E-16
  0.1428260000000E+14   0.1764763931994E-16
  0.1464130000000E+14   0.1717985558715E-16
  0.1500900000000E+14   0.1670452811111E-16
  0.1538590000000E+14   0.1615229781026E-16
  0.1577220000000E+14   0.1560164505065E-16
  0.1616830000000E+14   0.1482784068921E-16
  0.1657430000000E+14   0.1394775637229E-16
  0.1699050000000E+14   0.1302563390318E-16
  0.1741720000000E+14   0.1194005487006E-16
  0.1785460000000E+14   0.1092251485352E-16
  0.1830290000000E+14   0.9872204380754E-17
  0.1876260000000E+14   0.8889182261716E-17
  0.1923370000000E+14   0.8009727832122E-17
  0.1971670000000E+14   0.7210530710149E-17
  0.2021180000000E+14   0.6511229569322E-17
  0.2071940000000E+14   0.5951398727603E-17
  0.2123970000000E+14   0.5438489886943E-17
  0.2177310000000E+14   0.5320744301863E-17
  0.2231980000000E+14   0.5200540193146E-17
  0.2288030000000E+14   0.5198401742926E-17
  0.2345490000000E+14   0.5231027938904E-17
  0.2404390000000E+14   0.5282480988823E-17
  0.2464770000000E+14   0.5374104104368E-17
  0.2526660000000E+14   0.5445324568773E-17
  0.2590110000000E+14   0.5540255047050E-17
  0.2655150000000E+14   0.5611295994949E-17
  0.2721830000000E+14   0.5744602543832E-17
  0.2790180000000E+14   0.5879232479886E-17
  0.2860240000000E+14   0.5956906968403E-17
  0.2932070000000E+14   0.5972208947564E-17
  0.3005700000000E+14   0.5964304499343E-17
  0.3081180000000E+14   0.5836491703521E-17
  0.3158550000000E+14   0.5713757384509E-17
  0.3237870000000E+14   0.5145500445504E-17
  0.3319170000000E+14   0.4478740179953E-17
  0.3402530000000E+14   0.3865046431028E-17
  0.3487970000000E+14   0.3300163791692E-17
  0.3575560000000E+14   0.2772476513462E-17
  0.3665350000000E+14   0.2297840785092E-17
  0.3757390000000E+14   0.1837667982451E-17
  0.3851740000000E+14   0.1558064504684E-17
  0.3948470000000E+14   0.1327354853935E-17
  0.4047620000000E+14   0.1174947021919E-17
  0.4149260000000E+14   0.1120881905118E-17
  0.4253460000000E+14   0.1073722835280E-17
  0.4360270000000E+14   0.1061478749171E-17
  0.4469770000000E+14   0.1050914109437E-17
  0.4582010000000E+14   0.1042266380594E-17
  0.4697070000000E+14   0.1034976387897E-17
  0.4815020000000E+14   0.1027642404806E-17
  0.4935940000000E+14   0.1020109590264E-17
  0.5059890000000E+14   0.1013470797672E-17
